# schema=square-j1-j2-full-spin-isotypic-rational-witness-v1
# denominator=1000000
# model_mof_sha256=3310ea7c41b857223fe001e6bb3f9a64c75f187a33788585accbb10091055e68
# runmeta_sha256=9085804ef2c2eaf836095f9df43b83e0cc5bc3feed2a6e1b87da7748b42fee7e
# solve_result_sha256=602975f64379a77b1c098eb20620f07051bd0c9bc56df82d7e5057a4b2f5044e
# primal_values_sha256=5b4a9c8b93fc51d0033997e82404809b09136f0804ae3d987f48d2bcae3a43e2
index	name	numerator
117	full_spin_isotypic_invariant_moment[117]	-256
118	full_spin_isotypic_invariant_moment[118]	-257
119	full_spin_isotypic_invariant_moment[119]	-494
120	full_spin_isotypic_invariant_moment[120]	-173
121	full_spin_isotypic_invariant_moment[121]	-257
122	full_spin_isotypic_invariant_moment[122]	-119
123	full_spin_isotypic_invariant_moment[123]	-494
124	full_spin_isotypic_invariant_moment[124]	-257
125	full_spin_isotypic_invariant_moment[125]	486906
126	full_spin_isotypic_invariant_moment[126]	6387
127	full_spin_isotypic_invariant_moment[127]	7649
128	full_spin_isotypic_invariant_moment[128]	-13260
129	full_spin_isotypic_invariant_moment[129]	7649
130	full_spin_isotypic_invariant_moment[130]	6387
131	full_spin_isotypic_invariant_moment[131]	7649
132	full_spin_isotypic_invariant_moment[132]	6387
133	full_spin_isotypic_invariant_moment[133]	-4427
134	full_spin_isotypic_invariant_moment[134]	188
135	full_spin_isotypic_invariant_moment[135]	191
136	full_spin_isotypic_invariant_moment[136]	-73
137	full_spin_isotypic_invariant_moment[137]	191
138	full_spin_isotypic_invariant_moment[138]	188
139	full_spin_isotypic_invariant_moment[139]	191
140	full_spin_isotypic_invariant_moment[140]	188
141	full_spin_isotypic_invariant_moment[141]	5675
142	full_spin_isotypic_invariant_moment[142]	6399
143	full_spin_isotypic_invariant_moment[143]	-6062
144	full_spin_isotypic_invariant_moment[144]	6399
145	full_spin_isotypic_invariant_moment[145]	5675
146	full_spin_isotypic_invariant_moment[146]	6399
147	full_spin_isotypic_invariant_moment[147]	5675
148	full_spin_isotypic_invariant_moment[148]	196
149	full_spin_isotypic_invariant_moment[149]	203
150	full_spin_isotypic_invariant_moment[150]	-203
151	full_spin_isotypic_invariant_moment[151]	203
152	full_spin_isotypic_invariant_moment[152]	196
153	full_spin_isotypic_invariant_moment[153]	203
154	full_spin_isotypic_invariant_moment[154]	196
155	full_spin_isotypic_invariant_moment[155]	-173
156	full_spin_isotypic_invariant_moment[156]	-449
157	full_spin_isotypic_invariant_moment[157]	-173
158	full_spin_isotypic_invariant_moment[158]	-20
159	full_spin_isotypic_invariant_moment[159]	-173
160	full_spin_isotypic_invariant_moment[160]	-20
161	full_spin_isotypic_invariant_moment[161]	-33
162	full_spin_isotypic_invariant_moment[162]	-199
163	full_spin_isotypic_invariant_moment[163]	-33
164	full_spin_isotypic_invariant_moment[164]	29
165	full_spin_isotypic_invariant_moment[165]	-33
166	full_spin_isotypic_invariant_moment[166]	29
167	full_spin_isotypic_invariant_moment[167]	-756
168	full_spin_isotypic_invariant_moment[168]	-244
169	full_spin_isotypic_invariant_moment[169]	-173
170	full_spin_isotypic_invariant_moment[170]	-244
171	full_spin_isotypic_invariant_moment[171]	-173
172	full_spin_isotypic_invariant_moment[172]	-430
173	full_spin_isotypic_invariant_moment[173]	-24
174	full_spin_isotypic_invariant_moment[174]	-33
175	full_spin_isotypic_invariant_moment[175]	-24
176	full_spin_isotypic_invariant_moment[176]	-33
177	full_spin_isotypic_invariant_moment[177]	-756
178	full_spin_isotypic_invariant_moment[178]	-449
179	full_spin_isotypic_invariant_moment[179]	-756
180	full_spin_isotypic_invariant_moment[180]	-449
181	full_spin_isotypic_invariant_moment[181]	-430
182	full_spin_isotypic_invariant_moment[182]	-199
183	full_spin_isotypic_invariant_moment[183]	-430
184	full_spin_isotypic_invariant_moment[184]	-199
185	full_spin_isotypic_invariant_moment[185]	-173
186	full_spin_isotypic_invariant_moment[186]	-244
187	full_spin_isotypic_invariant_moment[187]	-173
188	full_spin_isotypic_invariant_moment[188]	-33
189	full_spin_isotypic_invariant_moment[189]	-24
190	full_spin_isotypic_invariant_moment[190]	-33
191	full_spin_isotypic_invariant_moment[191]	-173
192	full_spin_isotypic_invariant_moment[192]	-20
193	full_spin_isotypic_invariant_moment[193]	-33
194	full_spin_isotypic_invariant_moment[194]	29
195	full_spin_isotypic_invariant_moment[195]	-173
196	full_spin_isotypic_invariant_moment[196]	-33
197	full_spin_isotypic_invariant_moment[197]	-193
198	full_spin_isotypic_invariant_moment[198]	-276
199	full_spin_isotypic_invariant_moment[199]	-193
200	full_spin_isotypic_invariant_moment[200]	-119
201	full_spin_isotypic_invariant_moment[201]	-193
202	full_spin_isotypic_invariant_moment[202]	-119
203	full_spin_isotypic_invariant_moment[203]	-257
204	full_spin_isotypic_invariant_moment[204]	-164
205	full_spin_isotypic_invariant_moment[205]	-257
206	full_spin_isotypic_invariant_moment[206]	-119
207	full_spin_isotypic_invariant_moment[207]	-257
208	full_spin_isotypic_invariant_moment[208]	-119
209	full_spin_isotypic_invariant_moment[209]	-324
210	full_spin_isotypic_invariant_moment[210]	-256
211	full_spin_isotypic_invariant_moment[211]	-257
212	full_spin_isotypic_invariant_moment[212]	-256
213	full_spin_isotypic_invariant_moment[213]	-257
214	full_spin_isotypic_invariant_moment[214]	-185
215	full_spin_isotypic_invariant_moment[215]	-256
216	full_spin_isotypic_invariant_moment[216]	-193
217	full_spin_isotypic_invariant_moment[217]	-256
218	full_spin_isotypic_invariant_moment[218]	-193
219	full_spin_isotypic_invariant_moment[219]	-185
220	full_spin_isotypic_invariant_moment[220]	-164
221	full_spin_isotypic_invariant_moment[221]	-185
222	full_spin_isotypic_invariant_moment[222]	-164
223	full_spin_isotypic_invariant_moment[223]	-324
224	full_spin_isotypic_invariant_moment[224]	-276
225	full_spin_isotypic_invariant_moment[225]	-324
226	full_spin_isotypic_invariant_moment[226]	-276
227	full_spin_isotypic_invariant_moment[227]	-257
228	full_spin_isotypic_invariant_moment[228]	-256
229	full_spin_isotypic_invariant_moment[229]	-257
230	full_spin_isotypic_invariant_moment[230]	-193
231	full_spin_isotypic_invariant_moment[231]	-256
232	full_spin_isotypic_invariant_moment[232]	-193
233	full_spin_isotypic_invariant_moment[233]	-193
234	full_spin_isotypic_invariant_moment[234]	-119
235	full_spin_isotypic_invariant_moment[235]	-257
236	full_spin_isotypic_invariant_moment[236]	-119
237	full_spin_isotypic_invariant_moment[237]	-257
238	full_spin_isotypic_invariant_moment[238]	-193
239	full_spin_isotypic_invariant_moment[239]	488022
240	full_spin_isotypic_invariant_moment[240]	6045
241	full_spin_isotypic_invariant_moment[241]	7239
242	full_spin_isotypic_invariant_moment[242]	-12410
243	full_spin_isotypic_invariant_moment[243]	7239
244	full_spin_isotypic_invariant_moment[244]	6045
245	full_spin_isotypic_invariant_moment[245]	7239
246	full_spin_isotypic_invariant_moment[246]	6045
247	full_spin_isotypic_invariant_moment[247]	7018
248	full_spin_isotypic_invariant_moment[248]	297
249	full_spin_isotypic_invariant_moment[249]	365
250	full_spin_isotypic_invariant_moment[250]	-755
251	full_spin_isotypic_invariant_moment[251]	365
252	full_spin_isotypic_invariant_moment[252]	297
253	full_spin_isotypic_invariant_moment[253]	365
254	full_spin_isotypic_invariant_moment[254]	297
255	full_spin_isotypic_invariant_moment[255]	331
256	full_spin_isotypic_invariant_moment[256]	438
257	full_spin_isotypic_invariant_moment[257]	-1143
258	full_spin_isotypic_invariant_moment[258]	438
259	full_spin_isotypic_invariant_moment[259]	331
260	full_spin_isotypic_invariant_moment[260]	438
261	full_spin_isotypic_invariant_moment[261]	331
262	full_spin_isotypic_invariant_moment[262]	5289
263	full_spin_isotypic_invariant_moment[263]	5902
264	full_spin_isotypic_invariant_moment[264]	-4651
265	full_spin_isotypic_invariant_moment[265]	5902
266	full_spin_isotypic_invariant_moment[266]	5289
267	full_spin_isotypic_invariant_moment[267]	5902
268	full_spin_isotypic_invariant_moment[268]	5289
269	full_spin_isotypic_invariant_moment[269]	-104
270	full_spin_isotypic_invariant_moment[270]	-129
271	full_spin_isotypic_invariant_moment[271]	-104
272	full_spin_isotypic_invariant_moment[272]	-67
273	full_spin_isotypic_invariant_moment[273]	-104
274	full_spin_isotypic_invariant_moment[274]	-67
275	full_spin_isotypic_invariant_moment[275]	-136
276	full_spin_isotypic_invariant_moment[276]	-91
277	full_spin_isotypic_invariant_moment[277]	-136
278	full_spin_isotypic_invariant_moment[278]	-67
279	full_spin_isotypic_invariant_moment[279]	-136
280	full_spin_isotypic_invariant_moment[280]	-67
281	full_spin_isotypic_invariant_moment[281]	-158
282	full_spin_isotypic_invariant_moment[282]	-136
283	full_spin_isotypic_invariant_moment[283]	-136
284	full_spin_isotypic_invariant_moment[284]	-136
285	full_spin_isotypic_invariant_moment[285]	-136
286	full_spin_isotypic_invariant_moment[286]	-99
287	full_spin_isotypic_invariant_moment[287]	-136
