# schema=shastry-sutherland-full-spin-isotypic-primal-values-v1
# model_mof_sha256=8a5b326d4df2f9794ed4996435d5c3064edb0a791b5bbeccb34f93bc25c3d203
# runmeta_sha256=1ede6133d4b25dfad8493ff7f323d765e99b89066fc1bfddf689c51a62b24545
index	name	float64_bits
59	full_spin_isotypic_invariant_moment[59]	0011111101110001100111010000000111001001101100110000010110111000
60	full_spin_isotypic_invariant_moment[60]	1011111110001011110100100010010110000110101011001010001111000110
61	full_spin_isotypic_invariant_moment[61]	0011111101110001100111010000000111001001101100101000110110001010
62	full_spin_isotypic_invariant_moment[62]	0011111111101111101111111010110101001001001011000111010010101101
63	full_spin_isotypic_invariant_moment[63]	1011111110000101110000111000011100001001100100101001110100011100
64	full_spin_isotypic_invariant_moment[64]	0011111101110101001101010110011010000001010100111010011011100111
65	full_spin_isotypic_invariant_moment[65]	1011111110000101110000111000011100001001100100101100111101100001
66	full_spin_isotypic_invariant_moment[66]	0011111101110101001101010110011010000001010100110110110001010000
67	full_spin_isotypic_invariant_moment[67]	0011111110000101111100010010001011101000001011101110111111111110
68	full_spin_isotypic_invariant_moment[68]	0011111110001100111110111111110000001011001000000100110110100100
69	full_spin_isotypic_invariant_moment[69]	0011111110000101111100010010001011101000001011101010101010010001
70	full_spin_isotypic_invariant_moment[70]	0011111111011111101100011001010001111000010001111101001110001101
71	full_spin_isotypic_invariant_moment[71]	0011111101110100010100001010010011100010011010101101100001001101
72	full_spin_isotypic_invariant_moment[72]	0011111101111100011000011001101000111100111010011001011001000100
73	full_spin_isotypic_invariant_moment[73]	0011111101110100010100001010010011100010011010101101011100011011
74	full_spin_isotypic_invariant_moment[74]	0011111110000101111100010010001011101000001011110010010010011100
75	full_spin_isotypic_invariant_moment[75]	0011111110000101010001110111110010000100011001110111011111101100
76	full_spin_isotypic_invariant_moment[76]	0011111111011111110110011011001100011111000101100101110010110100
77	full_spin_isotypic_invariant_moment[77]	0011111101110100010100001010010011100010011010101100101101000101
78	full_spin_isotypic_invariant_moment[78]	0011111101110011111101101001100101110011001111110101111110101100
79	full_spin_isotypic_invariant_moment[79]	0011111110000101111100010010001011101000001011101101110010011001
80	full_spin_isotypic_invariant_moment[80]	0011111111011111101100011001010001111000010001111101000010100110
81	full_spin_isotypic_invariant_moment[81]	0011111101110100010100001010010011100010011010101110101110010011
82	full_spin_isotypic_invariant_moment[82]	0011111111011111110110011011001100011111000101100101110011000010
83	full_spin_isotypic_invariant_moment[83]	1011111100101010101101000010110101000000010110110011110111100100
84	full_spin_isotypic_invariant_moment[84]	1011111100000000000101010000110011011001101010011010010101011010
85	full_spin_isotypic_invariant_moment[85]	1011111100101010101101000010110101000000010110110000001011111000
86	full_spin_isotypic_invariant_moment[86]	0011111011011010010111011000101110001010000011101000101101101110
87	full_spin_isotypic_invariant_moment[87]	1011111100101010101101000010110101000000010110101110010000001101
88	full_spin_isotypic_invariant_moment[88]	0011111011011010010111011000101110001001111100001001100100010000
89	full_spin_isotypic_invariant_moment[89]	1011111100100001101111001111111000101100011000101011110101110111
90	full_spin_isotypic_invariant_moment[90]	1011111100100001101001011010000011011010101110110111000000111000
91	full_spin_isotypic_invariant_moment[91]	1011111100100001101111001111111000101100011000001000000110111100
92	full_spin_isotypic_invariant_moment[92]	1011111100011000001010110110011001110101110000000001100110111000
93	full_spin_isotypic_invariant_moment[93]	1011111100100001101111001111111000101100010111111111001110110110
94	full_spin_isotypic_invariant_moment[94]	1011111100011000001010110110011001110101110000011110110011011001
95	full_spin_isotypic_invariant_moment[95]	1011111010111100000100100100000011011000110100100100010010101110
96	full_spin_isotypic_invariant_moment[96]	1011111100100111100000100111110000110100111110000001111010101100
97	full_spin_isotypic_invariant_moment[97]	0011111100001011100111001101100010011101110001000110000101111010
98	full_spin_isotypic_invariant_moment[98]	1011111100100111100000100111110000110100111110000000010101111101
99	full_spin_isotypic_invariant_moment[99]	0011111100001011100111001101100010011101101110111000010000110011
100	full_spin_isotypic_invariant_moment[100]	1011111100011001001000000100111010010110101011011110110011001110
101	full_spin_isotypic_invariant_moment[101]	1011111100100001100111000011011110111100001111101111000111100000
102	full_spin_isotypic_invariant_moment[102]	1011111100001111001011000000011010011010001111011110010111100010
103	full_spin_isotypic_invariant_moment[103]	1011111100100001100111000011011110111100001111101001100100100111
104	full_spin_isotypic_invariant_moment[104]	1011111100001111001011000000011010011010010001001000101000010001
105	full_spin_isotypic_invariant_moment[105]	1011111010111100000100100100000011011000010111010110011000101001
106	full_spin_isotypic_invariant_moment[106]	1011111100000001011101001011110100000101100001101011101101101100
107	full_spin_isotypic_invariant_moment[107]	1011111010111100000100100100000011011000101100010110001001000011
108	full_spin_isotypic_invariant_moment[108]	1011111100000001011101001011110100000101100000001010010111100001
109	full_spin_isotypic_invariant_moment[109]	1011111100011001001000000100111010010110101100011010101101000011
110	full_spin_isotypic_invariant_moment[110]	0011111100000001100100111000000011100110110011000010111101011101
111	full_spin_isotypic_invariant_moment[111]	1011111100011001001000000100111010010110101110000100101110010011
112	full_spin_isotypic_invariant_moment[112]	0011111100000001100100111000000011100110110011010010001000100001
113	full_spin_isotypic_invariant_moment[113]	0011111100001011100111001101100010011101101111001110011001100000
114	full_spin_isotypic_invariant_moment[114]	1011111100100111100000100111110000110100111110001110001100101010
115	full_spin_isotypic_invariant_moment[115]	0011111100001011100111001101100010011101101111111010101001100011
116	full_spin_isotypic_invariant_moment[116]	1011111100001111001011000000011010011010010000001001101101000100
117	full_spin_isotypic_invariant_moment[117]	1011111100100001100111000011011110111100001111011111000101100011
118	full_spin_isotypic_invariant_moment[118]	1011111100001111001011000000011010011010001111011011101000001111
119	full_spin_isotypic_invariant_moment[119]	0011111100001011100111001101100010011101101111110101000010110011
120	full_spin_isotypic_invariant_moment[120]	0011111100101101010010111010001001111110011111111010111111011000
121	full_spin_isotypic_invariant_moment[121]	1011111100001111001011000000011010011010001111101001001010011111
122	full_spin_isotypic_invariant_moment[122]	0011111100000101010101100100110001001011101100111011111001110111
123	full_spin_isotypic_invariant_moment[123]	0011111100001011100111001101100010011101101111100100111000101100
124	full_spin_isotypic_invariant_moment[124]	1011111100001111001011000000011010011010010000010000001011011001
125	full_spin_isotypic_invariant_moment[125]	0011111111011111001011100100010010000010011000111010101001110001
126	full_spin_isotypic_invariant_moment[126]	0011111101111100110010010110011011000000111110100011001010110001
127	full_spin_isotypic_invariant_moment[127]	0011111101111011001000100100000100001100111100101010000100110101
